Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
2,11-04  01:34:03,EFM2[KUMHO110087A90C9C246B000100E500F9B04FF48F6A00BD],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,2.584,2.98,24.0,62607,00,-67,10081
1,11-04  01:34:03,EFM1[KUMHO110087A90C9C246B000100E500F9B04FF48F6A00C4],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,2.584,2.98,24.0,62607,00,-60,2
2,11-04  01:34:04,EFM2[KUMHO110087A90C04246B005555550101010112876A01BD],87A90C04,24,1.0.7,1.0.6,31.2,21634.00,5.248,1.23,-54.0,4743,01,-67,10155
1,11-04  01:34:04,EFM1[KUMHO110087A90C04246B005555550101010112876A01BD],87A90C04,24,1.0.7,1.0.6,31.2,21634.00,5.248,1.23,-54.0,4743,01,-67,1
2,11-04  01:34:05,EFM2[KUMHO110087A90C87246B000100E400FCB052E33D6A00BB],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,27.0,58173,00,-69,9618
1,11-04  01:34:05,EFM1[KUMHO110087A90C87246B000100E400FCB052E33D6A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,27.0,58173,00,-66,2
1,11-04  01:34:06,EFM1[KUMHO110087A90C07242B000000F300EDAA4D84496A01A8],87A90C07,24,-,1.0.6,-2.8,32.00,-1.412,2.92,22.0,33865,01,-88,442949
2,11-04  01:34:06,EFM2[KUMHO110087A92031246B000100E100F9AF511A986A00B9],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.584,2.97,26.0,6808,00,-71,10235
2,11-04  01:34:08,EFM2[KUMHO110087A91CB2246B0002011B00FEB04EC6F36A00C0],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.249,2.98,23.0,50931,00,-64,10223
2,11-04  01:34:09,EFM2[KUMHO110087A90D98246B0001010D00FC9E51C5B76A00B7],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50615,00,-73,10128
1,11-04  01:34:09,EFM1[KUMHO110087A90D98246B0001010D00FC9E51C5B76A00C3],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50615,00,-61,1
2,11-04  01:34:10,EFM2[KUMHO110087A91543246B000100E900FBB15166256A00C6],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26149,00,-58,10357
1,11-04  01:34:10,EFM1[KUMHO110087A91543246B000100E900FBB15166256A00C4],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26149,00,-60,1
2,11-04  01:34:10,EFM2[KUMHO110087A91B39246B0002010D00FBAF51602D6A00BF],87A91B39,24,1.0.7,1.0.6,-2.0,58.00,3.250,2.97,26.0,24621,00,-65,10161
1,11-04  01:34:10,EFM1[KUMHO110087A91B39246B0002010D00FBAF51602D6A00BA],87A91B39,24,1.0.7,1.0.6,-2.0,58.00,3.250,2.97,26.0,24621,00,-70,1
